epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
18,552.874,1.70913,2.23093,1.45039,0.30465,0.48249,0.34139,0.13829,1.96734,2.86205,1.53874,0.0011885,0.0011885,0.0011885
19,583.612,1.62729,2.18261,1.46887,0.40327,0.64408,0.4327,0.17612,1.87876,3.40375,1.54318,0.00117435,0.00117435,0.00117435
20,613.293,1.61235,2.11853,1.442,0.38259,0.65556,0.52064,0.20864,1.89798,2.68458,1.55262,0.00116021,0.00116021,0.00116021
21,644.612,1.59937,2.09833,1.4577,0.24995,0.44802,0.40104,0.16552,1.94685,2.38217,1.43093,0.00114606,0.00114606,0.00114606
22,674.312,1.63196,2.08927,1.4074,0.44446,0.48731,0.46114,0.15815,1.97282,2.5713,1.47171,0.00113191,0.00113191,0.00113191
23,704.333,1.58503,2.0059,1.39079,0.50497,0.60557,0.49128,0.20598,2.00238,2.67823,1.59833,0.00111776,0.00111776,0.00111776
24,734.824,1.59708,1.99974,1.39788,0.49575,0.48889,0.45063,0.15475,2.02932,2.54735,1.60946,0.00110362,0.00110362,0.00110362
25,766.761,1.65923,2.02954,1.47347,0.39415,0.45556,0.52989,0.16072,2.29257,2.53613,1.64144,0.00108947,0.00108947,0.00108947
26,796.63,1.57154,1.88923,1.41655,0.36417,0.45556,0.46858,0.16393,2.18118,2.52172,1.63865,0.00107532,0.00107532,0.00107532
27,826.961,1.67084,1.94671,1.45519,0.48453,0.46243,0.46416,0.16772,2.06066,2.43639,1.73011,0.00106118,0.00106118,0.00106118
28,856.363,1.60033,1.9853,1.42748,0.2647,0.51111,0.44084,0.18708,1.93592,2.41009,1.63736,0.00104703,0.00104703,0.00104703
29,887.357,1.63988,1.90554,1.41575,0.85602,0.4,0.53889,0.19873,1.87045,2.33217,1.45003,0.00103288,0.00103288,0.00103288
30,917.043,1.56909,1.98072,1.42286,0.4522,0.51111,0.47812,0.17229,1.8757,2.42222,1.43926,0.00101873,0.00101873,0.00101873
31,946.613,1.61448,1.95969,1.47091,0.58933,0.41111,0.40847,0.14836,2.0032,2.57763,1.58291,0.00100459,0.00100459,0.00100459
32,976.452,1.57112,1.88307,1.41381,0.41504,0.32172,0.41184,0.15201,2.05207,2.54031,1.61949,0.00099044,0.00099044,0.00099044
33,1007.36,1.56542,1.92085,1.41238,0.38336,0.39821,0.45026,0.1551,2.06874,2.71428,1.58288,0.000976293,0.000976293,0.000976293
34,1038.24,1.59642,1.96488,1.48406,0.39111,0.5261,0.43229,0.1583,1.84359,2.54996,1.43662,0.000962146,0.000962146,0.000962146
35,1069.07,1.50867,1.75775,1.40355,0.46283,0.43419,0.48768,0.17195,1.75231,2.5026,1.36195,0.000947999,0.000947999,0.000947999
36,1100.18,1.59184,1.83446,1.47015,0.6146,0.44019,0.50112,0.16713,1.83844,2.50421,1.42697,0.000933851,0.000933851,0.000933851
37,1131.59,1.52395,1.75287,1.36962,0.45514,0.41111,0.48103,0.198,1.89749,2.39827,1.36603,0.000919704,0.000919704,0.000919704
38,1162.14,1.51234,1.68096,1.34239,0.54725,0.41111,0.50847,0.20489,1.80391,2.26098,1.32875,0.000905557,0.000905557,0.000905557
39,1194,1.49548,1.74698,1.35161,0.53614,0.37494,0.4552,0.18949,1.74667,2.40964,1.28802,0.00089141,0.00089141,0.00089141
40,1225.11,1.50072,1.7594,1.37227,0.57219,0.37778,0.49567,0.213,1.79396,2.33363,1.332,0.000877263,0.000877263,0.000877263
41,1256.47,1.49463,1.61443,1.31322,0.31962,0.67778,0.56395,0.21521,1.81916,2.26728,1.34482,0.000863116,0.000863116,0.000863116
42,1286.09,1.49213,1.5996,1.34673,0.90871,0.30684,0.58947,0.21597,1.89974,2.16399,1.33763,0.000848969,0.000848969,0.000848969
43,1316.16,1.49148,1.6465,1.31713,0.49987,0.5824,0.58539,0.20535,2.06047,2.19115,1.393,0.000834822,0.000834822,0.000834822
44,1344.87,1.50466,1.69228,1.32178,0.56929,0.51446,0.59055,0.20112,1.98008,2.18423,1.40725,0.000820675,0.000820675,0.000820675
45,1374.51,1.42297,1.70324,1.3336,0.43869,0.78139,0.64331,0.23534,1.9656,2.27254,1.43798,0.000806528,0.000806528,0.000806528
46,1405.96,1.48874,1.59884,1.32117,0.50727,0.48092,0.60271,0.20437,2.0379,2.166,1.43899,0.00079238,0.00079238,0.00079238
47,1436.33,1.32488,1.55998,1.32378,0.47604,0.62222,0.51421,0.15754,2.28411,2.17131,1.54853,0.000778233,0.000778233,0.000778233
48,1466.52,1.56884,1.66465,1.38476,0.44902,0.59069,0.48196,0.14173,2.23501,2.22183,1.52679,0.000764086,0.000764086,0.000764086
49,1496.5,1.49115,1.53549,1.34611,0.77846,0.47227,0.56471,0.18772,2.20249,2.36229,1.49756,0.000749939,0.000749939,0.000749939
50,1524.94,1.43982,1.55283,1.36273,0.66433,0.50857,0.55837,0.18541,2.09726,2.38866,1.48388,0.000735792,0.000735792,0.000735792
51,1555.63,1.42409,1.49916,1.32567,0.65341,0.34444,0.47781,0.15894,2.01287,2.38744,1.48323,0.000721645,0.000721645,0.000721645
52,1586.17,1.3864,1.52823,1.29945,0.67341,0.31797,0.49662,0.17956,1.96598,2.29979,1.4757,0.000707498,0.000707498,0.000707498
53,1616.24,1.37793,1.48107,1.29711,0.79403,0.4277,0.58379,0.20466,2.05855,2.11988,1.54544,0.000693351,0.000693351,0.000693351
54,1646.3,1.39711,1.49685,1.31427,0.67532,0.39964,0.60527,0.19804,2.06331,2.11156,1.5281,0.000679204,0.000679204,0.000679204
55,1676.64,1.37179,1.49622,1.30414,0.58319,0.61212,0.61898,0.20258,2.09918,2.06487,1.48704,0.000665057,0.000665057,0.000665057
56,1707.11,1.42028,1.41241,1.27857,0.47807,0.41111,0.5595,0.19301,2.11518,2.00195,1.54949,0.000650909,0.000650909,0.000650909
57,1738.39,1.36001,1.39109,1.26908,0.66681,0.56181,0.63219,0.23386,2.00726,1.86808,1.50093,0.000636762,0.000636762,0.000636762
58,1769.28,1.4089,1.41455,1.27956,0.54595,0.8,0.66128,0.24121,2.05769,1.95106,1.51004,0.000622615,0.000622615,0.000622615
59,1801.44,1.34195,1.39262,1.27823,0.79636,0.54295,0.71381,0.28302,2.03801,1.85715,1.45176,0.000608468,0.000608468,0.000608468
60,1832.39,1.33006,1.3914,1.26921,0.60942,0.57778,0.62392,0.27752,1.94681,1.84676,1.39203,0.000594321,0.000594321,0.000594321
61,1864.21,1.37887,1.40511,1.29762,0.63277,0.62417,0.67294,0.27225,2.10075,1.97979,1.40482,0.000580174,0.000580174,0.000580174
62,1895.14,1.35029,1.3425,1.27393,0.7649,0.4445,0.64734,0.2455,2.15256,1.97914,1.46479,0.000566027,0.000566027,0.000566027
63,1927.38,1.32712,1.33803,1.27637,0.50419,0.58717,0.60103,0.20339,2.19241,2.06549,1.57721,0.00055188,0.00055188,0.00055188
64,1958.57,1.36685,1.34813,1.26497,0.60838,0.53857,0.59881,0.20866,2.14761,2.02004,1.55186,0.000537733,0.000537733,0.000537733
65,1989.17,1.31827,1.28124,1.28088,0.65171,0.52222,0.63618,0.19749,2.18681,1.92855,1.55625,0.000523586,0.000523586,0.000523586
66,2020.12,1.30178,1.27854,1.26247,0.70935,0.57762,0.60017,0.19317,2.16437,1.93956,1.54487,0.000509438,0.000509438,0.000509438
67,2049.57,1.34933,1.32325,1.2402,0.72629,0.54151,0.59255,0.21628,2.13474,2.09428,1.53319,0.000495291,0.000495291,0.000495291
68,2079.48,1.30276,1.32178,1.23572,0.73239,0.56022,0.60106,0.22212,2.06207,2.05722,1.50093,0.000481144,0.000481144,0.000481144
69,2109.86,1.30716,1.29186,1.2502,0.77871,0.57054,0.63235,0.22128,2.07686,2.05189,1.47562,0.000466997,0.000466997,0.000466997
70,2140.64,1.24718,1.26638,1.22271,0.5168,0.65556,0.60373,0.22152,2.17585,2.04254,1.50859,0.00045285,0.00045285,0.00045285
71,2170.95,1.2525,1.27088,1.2238,0.83736,0.46199,0.59466,0.2272,2.17066,1.96403,1.56296,0.000438703,0.000438703,0.000438703
72,2202.7,1.32572,1.2767,1.24838,0.8437,0.47243,0.59568,0.23,2.19143,1.97713,1.60385,0.000424556,0.000424556,0.000424556
73,2233.19,1.37083,1.26674,1.30262,0.77344,0.51155,0.60002,0.23152,2.27315,1.88326,1.67012,0.000410409,0.000410409,0.000410409
74,2264.25,1.33678,1.32728,1.24442,0.63569,0.55556,0.56795,0.22006,2.27626,1.93736,1.66501,0.000396262,0.000396262,0.000396262
75,2294.66,1.22829,1.22004,1.21974,0.65777,0.47373,0.56581,0.2383,2.19695,1.87443,1.62571,0.000382115,0.000382115,0.000382115
76,2347.76,1.26965,1.2409,1.24813,0.62786,0.54444,0.60856,0.2628,2.16502,1.85287,1.60352,0.000367967,0.000367967,0.000367967
77,2401.6,1.22636,1.24097,1.21967,0.88237,0.50725,0.66901,0.2862,2.0711,1.89803,1.53989,0.00035382,0.00035382,0.00035382
78,2455.17,1.34281,1.36804,1.24383,0.89687,0.42835,0.64396,0.26706,2.12463,1.93165,1.55162,0.000339673,0.000339673,0.000339673
79,2508.76,1.24272,1.19733,1.24349,0.89633,0.41111,0.63138,0.25498,2.17953,1.78787,1.53799,0.000325526,0.000325526,0.000325526
80,2598.69,1.23062,1.24202,1.24472,0.78868,0.58497,0.67556,0.2901,2.15187,1.75569,1.51857,0.000311379,0.000311379,0.000311379
81,2678.41,1.29329,1.16861,1.24421,0.50843,0.68344,0.64619,0.26911,2.14781,1.77328,1.53586,0.000297232,0.000297232,0.000297232
82,2763.2,1.2059,1.18007,1.18752,0.70455,0.51193,0.64215,0.25264,2.19868,1.77413,1.55932,0.000283085,0.000283085,0.000283085
83,2851.13,1.15622,1.12803,1.16953,0.51866,0.64638,0.5938,0.24391,2.25263,1.78964,1.55034,0.000268938,0.000268938,0.000268938
84,2935.31,1.15175,1.18465,1.19366,0.46742,0.63343,0.61645,0.24656,2.2777,1.74476,1.5631,0.000254791,0.000254791,0.000254791
85,3013.18,1.23105,1.15677,1.20928,0.76682,0.57928,0.64857,0.25467,2.28585,1.70679,1.60161,0.000240644,0.000240644,0.000240644
86,3090.67,1.21413,1.13795,1.18391,0.79567,0.44563,0.61495,0.24558,2.23141,1.71559,1.60193,0.000226497,0.000226497,0.000226497
87,3169.55,1.16892,1.13169,1.18411,0.59927,0.62222,0.63975,0.24758,2.25747,1.67917,1.6107,0.000212349,0.000212349,0.000212349
88,3246.31,1.16516,1.04376,1.16913,0.54832,0.63985,0.6389,0.25655,2.23316,1.66667,1.59073,0.000198202,0.000198202,0.000198202
89,3322.77,1.17371,1.17127,1.18668,0.67147,0.55556,0.61192,0.2533,2.21475,1.66507,1.59344,0.000184055,0.000184055,0.000184055
90,3400.93,1.2114,1.12327,1.1734,0.63561,0.55556,0.62178,0.25812,2.21429,1.64214,1.59312,0.000169908,0.000169908,0.000169908
91,3480.52,1.07463,1.10992,1.16463,0.54762,0.63222,0.64265,0.27525,2.18818,1.6164,1.58016,0.000155761,0.000155761,0.000155761
92,3566.06,1.01608,1.04377,1.1344,0.61519,0.5951,0.64227,0.27093,2.19662,1.62086,1.58331,0.000141614,0.000141614,0.000141614
93,3651.99,1.02748,1.05785,1.13579,0.67761,0.62741,0.66794,0.26968,2.16588,1.63225,1.5514,0.000127467,0.000127467,0.000127467
94,3738.97,1.08103,1.06934,1.16444,0.65475,0.62266,0.68128,0.27074,2.18886,1.62539,1.57125,0.00011332,0.00011332,0.00011332
95,3824.1,1.04327,1.02892,1.1259,0.77049,0.54368,0.6594,0.27437,2.19374,1.65378,1.56455,9.91726e-05,9.91726e-05,9.91726e-05
96,3910.09,0.98299,0.99252,1.10343,0.78536,0.54821,0.65362,0.28272,2.21608,1.65204,1.5757,8.50255e-05,8.50255e-05,8.50255e-05
97,3993.09,1.01036,1.00098,1.11119,0.82778,0.53687,0.67158,0.27781,2.24428,1.63493,1.58353,7.08784e-05,7.08784e-05,7.08784e-05
98,4078.74,0.9884,1.00977,1.09016,0.83862,0.53408,0.67118,0.2773,2.24917,1.61668,1.58013,5.67313e-05,5.67313e-05,5.67313e-05
99,4165.58,1.00227,0.97552,1.12489,0.81373,0.53948,0.66077,0.27388,2.25869,1.61633,1.58526,4.25842e-05,4.25842e-05,4.25842e-05
100,4245.95,0.99246,0.95773,1.08838,0.81301,0.54261,0.64447,0.27503,2.26025,1.60902,1.59301,2.84371e-05,2.84371e-05,2.84371e-05
