epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.5227,2.1161,3.48628,1.8759,0.0061,0.75556,0.21747,0.11284,1.86426,3.83839,1.43836,0.00015719,0.00015719,0.00015719
2,62.7697,1.98258,3.0217,1.62806,0.00804,0.72222,0.15923,0.06785,2.11893,3.46474,1.58933,0.000325416,0.000325416,0.000325416
3,92.5455,1.79437,2.68978,1.56632,0.00738,0.68889,0.21472,0.06887,2.24425,3.74573,1.68657,0.000490247,0.000490247,0.000490247
4,123.417,1.76306,2.6524,1.59482,0.85073,0.2,0.23117,0.08045,2.22744,3.35879,1.56364,0.000651683,0.000651683,0.000651683
5,152.97,1.78708,2.65464,1.58117,0.53713,0.33333,0.26165,0.09458,2.08584,3.00503,1.49764,0.000809723,0.000809723,0.000809723
6,182.96,1.81242,2.53111,1.47508,0.53888,0.26667,0.24008,0.09997,1.94037,3.30657,1.56866,0.000964368,0.000964368,0.000964368
7,214.8,1.78882,2.42574,1.4724,0.51118,0.16667,0.18131,0.06586,2.22017,3.26577,1.55069,0.00111562,0.00111562,0.00111562
8,245.542,1.76872,2.5042,1.49293,0.44865,0.13333,0.15024,0.05127,2.43511,3.44791,1.611,0.00126347,0.00126347,0.00126347
9,276.604,1.84621,2.41112,1.55251,0.48718,0.16667,0.30422,0.11005,2.41387,3.48952,1.67373,0.00131582,0.00131582,0.00131582
10,307.104,1.73734,2.44877,1.56275,0.35439,0.2,0.18807,0.03953,3.27449,5.52342,2.74921,0.00130168,0.00130168,0.00130168
11,338.771,1.67903,2.35003,1.45336,0.37206,0.47778,0.30443,0.06534,2.62899,4.32383,2.14965,0.00128753,0.00128753,0.00128753
12,368.443,1.64893,2.4327,1.466,0.2785,0.41111,0.22511,0.07045,2.63056,4.32979,1.97897,0.00127338,0.00127338,0.00127338
13,399.199,1.71884,2.31422,1.48354,0.51982,0.33333,0.35254,0.11766,2.14997,3.3787,1.51708,0.00125923,0.00125923,0.00125923
14,429.387,1.6054,2.29384,1.40161,0.60836,0.33333,0.37758,0.15337,2.03524,3.21356,1.58903,0.00124509,0.00124509,0.00124509
15,459.552,1.75388,2.40697,1.51312,0.28321,0.37778,0.26535,0.09822,2.09512,2.89758,1.65477,0.00123094,0.00123094,0.00123094
16,491.17,1.66238,2.33584,1.45921,0.51161,0.27778,0.19443,0.09441,2.13395,3.12489,1.66238,0.00121679,0.00121679,0.00121679
17,521.267,1.6664,2.31733,1.45952,0.35407,0.31111,0.32119,0.10621,2.10065,2.7319,1.53502,0.00120265,0.00120265,0.00120265
